,n,sequence_length,mut_rate,k,Value
0,50,10000,0.0001,2,0.8299189364654216
1,50,100000,0.0001,2,0.4323917274331005
2,50,1000000,0.0001,2,0.4624484173375391
3,50,1000000,1e-06,2,0.7393665193955858
4,50,10000000,0.0001,2,0.3742020890069323
5,50,10000000,1e-06,2,0.5805921323869367
6,200,10000,0.0001,2,0.7135805604026456
7,200,100000,0.0001,2,0.23798376166788707
8,200,1000000,0.0001,2,0.5322256936540837
9,200,1000000,1e-06,2,0.7495419587623178
10,200,10000000,0.0001,2,0.4971858920112837
11,200,10000000,1e-06,2,0.5338562348845333
12,1000,10000,0.0001,2,0.5953881542944579
13,1000,100000,0.0001,2,0.40837327697702047
14,1000,1000000,0.0001,2,0.4119547288614319
15,1000,1000000,1e-06,2,0.5968103572886501
16,1000,10000000,0.0001,2,0.47162769863219633
17,1000,10000000,1e-06,2,0.5070879316601016
18,10000,10000,0.0001,2,0.7385099028508453
19,10000,100000,0.0001,2,0.6141986877518999
20,10000,1000000,0.0001,2,0.3711802395078938
21,10000,1000000,1e-06,2,0.7109193263984138
22,10000,10000000,0.0001,2,0.43504658304409494
23,10000,10000000,1e-06,2,0.6029093729904644
